Brand,Model,CPU,RAM,Storage,GPU,Display,Battery,Price,Fact checked?,Comment,Source
Acer,Chromebook 511,Intel N100,8GB,64GB,Intel UHD,"11.6"" 1366x768 IPS",36Wh,"RM1,529.00",Yes by human,For ultra budget buyers who only need to use a browser,https://store.acer.com/en-my/acer-chromebook-511-chromebook-511-c736-c1x2-intelr-processor-n100
Acer,Predator Helios Neo 16,Intel i5-14450HX,16GB,1TB,RTX 5060,"16.0"" 2560x1600 IPS 180Hz",90Wh,"RM8,299.00",Yes by human,Mid tier gaming brick,https://store.acer.com/en-my/predator-helios-neo-16-phn16-i31-55mb
Apple,MacBook Pro M5,Apple M5 Pro,48GB,1TB SSD,-,"16"" 3024x1964 XDR 120Hz",72.4Wh,"RM12,699.00",Yes by human,For ultra creators and those running heavy workloads while needing to work from anywhere,https://www.apple.com/my/macbook-pro/specs/
Apple,MacBook Air M5,Apple M5,16GB,512GB SSD,-,"13.6"" 2560x1664 IPS",53.8Wh,"RM4,699.00",Yes by human,Good entry point for Apple fans who have medium workload,https://www.apple.com/my/macbook-air/specs/
Apple,MacBook Neo,Apple A18 Pro,8GB,256GB SSD,-,"13"" 2408x1506 IPS",36.5Wh,"RM2,499.00",Yes by human,Good budget option for those wanting to try Mac,https://www.apple.com/my/macbook-neo/specs/
ASUS,ROG Zephyrus G14,Intel Ultra 9 386H,32GB,1TB SSD,RTX 5070 Ti,"14"" 2880x1800 OLED 120Hz",73Wh,"RM17,999.00",Yes by human,Good stopping point for ultra gamer/creator,https://rog.asus.com/us/laptops/rog-zephyrus/rog-zephyrus-g14-2025/
ASUS,Zenbook 14X OLED,i7-13700H,16GB,512GB SSD,Iris Xe,"14.5"" OLED",70Wh,"RM7,399.00",Yes by human,Thin and light OLED laptop for digital nomads,https://www.asus.com/us/laptops/for-home/zenbook/zenbook-14x-oled-q420/
Dell,XPS 15,i7-13700H,32GB,1TB SSD,RTX 4060,"15.6"" OLED",86Wh,"RM11,399.00",Yes by human,Premium 15-inch laptop with InfinityEdge display,https://www.dell.com/en-us/shop/dell-laptops/xps-15-laptop/spd/xps-15-9530-laptop
Dell,XPS 13 Plus,i7-1360P,16GB,512GB SSD,Iris Xe,"13.4"" OLED",55Wh,"RM7,199.00",Yes by human,Futuristic ultraportable with seamless glass touchpad,https://www.dell.com/en-us/shop/dell-laptops/xps-13-plus-laptop/spd/xps-13-9320-laptop
HP,Spectre x360 14,i7-1355U,16GB,1TB SSD,Iris Xe,"13.5"" OLED",66Wh,"RM7,199.00",Yes by human,Premium 2-in-1 convertible with great design,https://support.hp.com/lv-en/document/ish_9687926-9688096-16
HP,Omen 16,i7-13700HX,16GB,1TB SSD,RTX 4070,"16.1"" IPS 165Hz",83Wh,"RM8,599.00",Yes by human,Solid gaming laptop with strong cooling,https://www.hp.com/us-en/shop/pdp/omen-16-inch-gaming-laptop-pc-a58a5av-1
Lenovo,ThinkPad X1 Carbon,i7-1355U,16GB,512GB SSD,Iris Xe,"14.0"" IPS",57Wh,"RM8,109.00",Yes by human,Classic business ultrabook with excellent keyboard,https://www.lenovo.com/us/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-11-14-inch-intel/len101t0049
Lenovo,Legion Pro 7i,i9-13900HX,32GB,2TB SSD,RTX 4080,"16.0"" IPS 240Hz",99.9Wh,"RM11,929.00",Yes by human,High-end gaming powerhouse with great thermals,https://www.lenovo.com/us/en/p/laptops/legion-laptops/legion-pro-series/legion-pro-7i-gen-8-16-inch-intel/len101g0023
ASUS,Zenbook 14X OLED,i7-13700H,16GB,512GB SSD,Iris Xe,"14.5"" OLED",70Wh,"RM10,034.71",Yes by human,Thin and light OLED laptop for digital nomads,https://www.asus.com/us/laptops/for-home/zenbook/zenbook-14x-oled-q420/
Dell,XPS 16,i7-13700H,32GB,1TB SSD,RTX 4060,"15.6"" OLED",86Wh,"RM10,335.07",Yes by human,Large premium laptop for creators,https://www.dell.com/en-us/shop/dell-laptops/xps-16-laptop/spd/xps-16-9640-laptop
Dell,XPS 13 Plus,i7-1360P,16GB,512GB SSD,Iris Xe,"13.4"" OLED",55Wh,"RM10,635.43",Yes by human,Futuristic ultraportable with seamless glass touchpad,https://www.dell.com/en-us/shop/dell-laptops/xps-13-plus-laptop/spd/xps-13-9320-laptop
HP,Spectre x360 15,i7-1355U,16GB,1TB SSD,Iris Xe,"13.5"" OLED",66Wh,"RM10,935.79",Yes by human,Premium 15-inch 2-in-1 convertible,https://support.hp.com/lv-en/document/ish_9687926-9688096-16
HP,Omen 17,i7-13700HX,16GB,1TB SSD,RTX 4070,"16.1"" IPS 165Hz",83Wh,"RM11,236.14",Yes by human,Large screen gaming laptop with strong cooling,https://www.hp.com/us-en/shop/pdp/omen-17-inch-gaming-laptop-pc-a58a5av-1
Lenovo,ThinkPad X1 Carbon,i7-1355U,16GB,512GB SSD,Iris Xe,"14.0"" IPS",57Wh,"RM11,536.50",Yes by human,Classic business ultrabook with excellent keyboard,https://www.lenovo.com/us/en/p/laptops/thinkpad/thinkpadx1/thinkpad-x1-carbon-gen-11-14-inch-intel/len101t0049
